pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
12805,BL,nse_cm,,SUVEN,SUVEN-BL,,SUVEN-BL,INE495B01038,,,,SUVEN LIFE SCIENCES LTD,,,1,1,-1,-1,2,-1,NSE,,,816220800,,816220800,0,0,1406851200,1407024000,0,190.90-194.75,0,0,1446919581,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,506812.00,1,0,19475,19090,1,1,1,0,0,1,0,2.27474e+08,0,0,506812,
30169,SG,nse_cm,,718WB46,718WB46-SG,,718WB46-SG,IN3420240274,,,,SDL WB 7.18% 2046,,,1,100,-1,-1,2,-1,NSE,,,1426982400,,1426982400,0,0,0,0,0,95.00-105.00,0,0,1446914483,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
23409,BL,nse_cm,,LIQUIDADD,LIQUIDADD-BL,,LIQUIDADD-BL,INF740KA1UM0,,,,DSPAMC - LIQUIDADD,,,1,1,-1,-1,2,-1,NSE,,,1396569600,,1396569600,0,0,0,0,0,1087.61-1109.58,0,0,1446919596,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,91036.00,1,0,110958,108761,1,1,1,0,0,1,0,1.97133e+07,0,0,91036,
5012,GS,nse_cm,,610GS2031,610GS2031-GS,,610GS2031-GS,IN0020210095,,,,GOI LOAN  6.10% 2031,,,1,1,-1,-1,2,-1,NSE,,,1310601600,,1310601600,0,0,0,0,1357862400,91.20-100.81,0,0,1446914478,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1040200.00,1,0,10081,9120,1,1,1,0,0,1,0,1.4e+09,0,0,1040200,
17489,BL,nse_cm,,EXPLEOSOL,EXPLEOSOL-BL,,EXPLEOSOL-BL,INE201K01015,,,,EXPLEO SOLUTIONS LIMITED,,,10,1,-1,-1,2,-1,NSE,,,940982400,,940982400,0,0,0,0,1423785600,985.30-1005.10,0,0,1446919590,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,99745.00,1,0,100510,98530,1,1,1,0,0,1,0,1.55197e+07,0,0,99745,
7530,SG,nse_cm,,70MN31B,70MN31B-SG,,70MN31B-SG,IN2320210072,,,,SDL MN 7.0% 2031,,,1,100,-1,-1,2,-1,NSE,,,1325376000,,1325376000,0,0,0,0,0,95.00-105.00,0,0,1446914479,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,294300.00,100,0,10500,9500,1,1,1,0,0,1,0,9e+06,0,0,294300,
